id,location,wage_per_week,housing_offered,female,job_id,industry_id,profile_id,image
3,West Virginia,5.00,TRUE,TRUE,36,2,3,"""https://3.bp.blogspot.com/-CRZA37ZMiX4/Wj8q2-_jHDI/AAAAAAAAO0s/gJSNagJs2NADfTpkqbjHOYf6k4dR4VHuACLcBGAs/s1600/rat_catchers.jpg"""
6,North Dakota,5.50,FALSE,TRUE,36,2,3,"""https://3.bp.blogspot.com/-CRZA37ZMiX4/Wj8q2-_jHDI/AAAAAAAAO0s/gJSNagJs2NADfTpkqbjHOYf6k4dR4VHuACLcBGAs/s1600/rat_catchers.jpg"""
12,Wisconsin,6.50,FALSE,TRUE,36,2,3,"""https://www.thevintagenews.com/wp-content/uploads/2016/07/A-typical-Birmingham-messenger-640x452.jpg"""
53,Wyoming,15.00,FALSE,FALSE,47,4,4,"""https://libcom.org/files/images/history/glassfactory.jpg"""
36,IIllinois,10.00,FALSE,FALSE,47,4,9,"""https://c8.alamy.com/comp/DCP2YA/miners-hauliers-early-1900s-DCP2YA.jpg"""
47,Massachusetts,13.00,FALSE,FALSE,49,4,6,"""https://libcom.org/files/images/history/glassfactory.jpg"""
52,New Hampshire,14.75,FALSE,FALSE,50,4,9,"""https://c8.alamy.com/comp/DCP2YA/miners-hauliers-early-1900s-DCP2YA.jpg"""
51,Vermont,14.50,FALSE,FALSE,51,4,8,"""https://c8.alamy.com/comp/DCP2YA/miners-hauliers-early-1900s-DCP2YA.jpg"""
58,Nevada,16.75,FALSE,FALSE,52,4,6,"""https://libcom.org/files/images/history/glassfactory.jpg"""
35,Indiana,10.00,TRUE,FALSE,69,3,6,"""https://uofllibraries.files.wordpress.com/2013/11/groupmenengine209_t.jpg"""
42,Minnesota,10.25,TRUE,FALSE,71,3,5,"""https://uofllibraries.files.wordpress.com/2013/11/groupmenengine209_t.jpg"""
44,Rhode Island,12.00,TRUE,FALSE,71,3,7,"""https://uofllibraries.files.wordpress.com/2013/11/groupmenengine209_t.jpg"""
28,Connecticut,8.00,FALSE,TRUE,82,1,2,"""https://www.lib.uwo.ca/archives/virtualexhibits/londonasylum/images/SK_PatientsInFieldE.jpg"""
29,Pennyslvania,8.00,TRUE,TRUE,82,1,3,"""https://www.lib.uwo.ca/archives/virtualexhibits/londonasylum/images/SK_PatientsInFieldE.jpg"""
20,Distriict of Columbia,7.50,FALSE,FALSE,82,1,4,"""https://www.lib.uwo.ca/archives/virtualexhibits/londonasylum/images/SK_PatientsInFieldE.jpg"""
26,Kentucky,8.00,FALSE,FALSE,82,1,4,"""https://www.lib.uwo.ca/archives/virtualexhibits/londonasylum/images/SK_PatientsInFieldE.jpg"""
33,New Jersey,9.00,FALSE,FALSE,82,1,4,"""https://www.lib.uwo.ca/archives/virtualexhibits/londonasylum/images/SK_PatientsInFieldE.jpg"""
21,Louisiana,7.50,FALSE,FALSE,82,1,5,"""https://i.ytimg.com/vi/SI9K8ZJqAwE/maxresdefault.jpg"""
27,Tennessee,8.00,FALSE,FALSE,82,1,5,"""https://i.ytimg.com/vi/SI9K8ZJqAwE/maxresdefault.jpg"""
34,Ohio,9.15,TRUE,FALSE,82,1,5,"""https://i.ytimg.com/vi/SI9K8ZJqAwE/maxresdefault.jpg"""
22,Michigan,7.50,FALSE,FALSE,82,1,6,"""https://i.ytimg.com/vi/SI9K8ZJqAwE/maxresdefault.jpg"""
17,Virginia,7.15,FALSE,FALSE,82,1,7,"""https://s.hdnux.com/photos/44/15/75/9494345/5/gallery_medium.jpg"""
23,Alabama,7.70,FALSE,FALSE,82,1,7,"""https://s.hdnux.com/photos/44/15/75/9494345/5/gallery_medium.jpg"""
30,Pennyslvania,8.00,TRUE,FALSE,82,1,7,"""https://s.hdnux.com/photos/44/15/75/9494345/5/gallery_medium.jpg"""
24,Delaware,8.00,FALSE,FALSE,82,1,8,"""https://s.hdnux.com/photos/44/15/75/9494345/5/gallery_medium.jpg"""
31,Oklahoma,8.50,FALSE,FALSE,82,1,8,"""https://s.hdnux.com/photos/44/15/75/9494345/5/gallery_medium.jpg"""
25,West Virginia,8.00,FALSE,FALSE,82,1,9,"""https://www.agclassroom.org/gan/timeline/pictures/1840_gov.jpg"""
32,New York,9.00,TRUE,FALSE,82,1,9,"""https://www.agclassroom.org/gan/timeline/pictures/1840_gov.jpg"""
11,South Carolina,6.25,FALSE,FALSE,86,6,6,"""https://www.officemuseum.com/IMagesWWW/1900_Minnesota_1900_pf071612_OM.JPG"""
13,Florida,6.60,FALSE,FALSE,87,3,7,"""https://uofllibraries.files.wordpress.com/2013/11/groupmenengine209_t.jpg"""
15,Texas,6.75,FALSE,FALSE,88,5,9,"""https://c1.staticflickr.com/1/454/32373348331_148bc0c6ac_b.jpg"""
8,North Carolina,6.00,FALSE,FALSE,89,1,5,"""https://i.ytimg.com/vi/SI9K8ZJqAwE/maxresdefault.jpg"""
7,Georgia,5.75,TRUE,FALSE,89,6,4,"""https://i.pinimg.com/originals/31/98/22/3198224efac5dfceef6be3654562c16c.jpg"""
14,Maryland,6.75,TRUE,FALSE,90,4,8,"""https://c8.alamy.com/comp/DCP2YA/miners-hauliers-early-1900s-DCP2YA.jpg"""
