primary_key,industry_id,name,skill_level,work_environment,apprenticeship,educated,age,gender,travel,start_avg_wage_per_week,end_avg_wage_per_week,low_hours_of_work,high_hours_of_work,days_of_week,job_openings,job_score,job_description
12,6,Civil Engineer,professional,mixed,FALSE,high school,adults,male,often,$4.00,$8.00,9,10,Everyday,4,15,"An engineer whose training or occupation is in the designing and construction of public or private works, such as railroads."
37,2,coachmen,skilled,mixed,FALSE,none,adults,male,home,$5.00,$8.00,10,12,Mon_Sat,4,37,driver of a horse-drawn carriage. Usually a coachmen serves a wealthy family.
81,4,coal Laborers,unskilled,unweathered,FALSE,none,adults,male,home,$7.50,$9.25,10,12,Mon_Sat,25,92,"workers skilled in all the different jobs required to get to the coal underground, loosen it from the earth, break it into pieces that mules or humans (and later power machines) could handle, transport it out of the mine, sort and clean it, and finally ship off it to customers. ""Miners"" worked inside the mine; ""company men"" worked outside the mine."
21,1,Dairy Farmers,semiskilled,weathered,FALSE,none,adults,both,home,$7.50,$15.00,10,12,Mon_Sat,10,64,farmers use nimals for production of dairy. Mostly use dairy cows for the production of dairy milk.
31,1,DairyWomen,semiskilled,weathered,FALSE,none,family,female,home,$7.50,$15.00,10,12,Mon_Sat,4,60,deliver milk to your door.
85,3,day Laborers,unskilled,weathered,FALSE,none,adults,both,home,$7.50,$9.25,10,12,Mon_Sat,25,57,"These workers did whatever physical jobs they could find, usually hired for just days or weeks at a time."
40,2,Detectives,skilled,unweathered,FALSE,none,adults,male,home,$5.00,$8.00,10,12,Mon_Sat,5,32,a police officer whose occupation is to investigate and solve crimes.
83,2,domestic Laborers,unskilled,unweathered,FALSE,none,adults,both,home,$7.50,$9.25,10,12,Mon_Sat,25,53,workers skilled in all the different jobs required in domestic and personal service industry.
46,2,DoorKeepers,semiskilled,mixed,FALSE,none,adults,male,home,$5.00,$8.00,10,12,Everyday,4,35,employed to guard an entrance or gateway and is responsible for deciding who gets through an entrance.
14,6,Draftsmen,semiskilled,unweathered,FALSE,none,adults,male,occassion,$12.00,$20.00,10,12,Mon_Sat,5,77,"is a person who makes detailed technical drawings or plans for machinery, buildings, electronics, infrastructure, sections, etc."
70,3,Draymen,skilled,unweathered,FALSE,none,adults,male,home,$9.50,$16.70,10,12,Mon_Sat,2,79,someone who drove wagons pulled by horses that was used to transport all kinds of goods. Most of the transportation trips were short.
73,6,Editors,professional,unweathered,FALSE,none,adults,both,home,$9.50,$16.70,10,12,Mon_Sat,4,15,people who are in charge of and determines the final content of text. Editors edit text to make little changes to perfect or make teh text sound or look better.
49,4,Electricians,kindred,unweathered,TRUE,none,adults,male,home,$15.00,$17.00,10,12,Mon_Sat,3,77,someone who installs and maintains electrical equipment.
45,2,Elevator Operator,semiskilled,unweathered,FALSE,none,adults,male,home,$5.00,$8.00,10,12,Everyday,3,32,"manually operate elevators, letting passengers on and off at their desired floors."
22,1,Farmers,skilled,weathered,FALSE,none,adults,male,home,$7.50,$15.00,10,12,Mon_Sat,3,66,"workers who labor on a farm. Work includes a combination of raising field crops, orchhards, vineyards, poultry, or livestock."
1,1,fishermen,semiskilled,weathered,FALSE,none,adults,male,often,$12.00,$20.00,12,18,Everyday,10,62,"A commercial fisherman, also known as a fisher, uses equipment like nets, fishing rods, and traps, to catch fish and other marine life that will be consumed by humans or used as animal feed or bait. Some work as members of large crews on big boats in deep water. Other fishermen work in shallow water on small boats with a very small crew"
66,3,Flagmen,semiskilled,weathered,FALSE,none,adults,male,home,$9.00,$13.50,10,12,Mon_Sat,6,75,"someone at night with a lantern, waves it to people crossing the railroad to let them know if it is okay to cross the railroad or not. In the daytime the flagmen uses a flag instead of a lantern."
26,1,Florists,skilled,weathered,FALSE,none,adults,both,home,$7.50,$15.00,10,12,Mon_Sat,2,64,"sell and/or arrange plants and flowers. Ability to tend gardern and produce the plants and flowers for arrangements. In addition, ability to cut and arrange flowers artisitically."
69,3,Freight Agents,skilled,unweathered,FALSE,none,adults,male,home,$9.50,$16.70,10,12,Everyday,5,78,people whoo coordinate inccoming and outgoing shipments to be transported to companies and other businesses
27,1,Fruit Growers,semiskilled,weathered,FALSE,none,adults,both,home,$7.50,$15.00,10,12,Mon_Sat,7,66,grow fruit to sell for money.
25,1,Gardeners,semiskilled,weathered,FALSE,none,adults,both,home,$7.50,$15.00,10,12,Mon_Sat,8,66,"provide work involving tending a garden. Responsibilities include but are not limited to watering plants and foods, pulling weeds and keeping garden clean."
3,1,glassworkers,kindred,unweathered,TRUE,none,adults,male,home,$5.50,$9.00,9,10,Mon_Sat,5,80,would remove a finished piece of hot glassware from the end of the gaffer's blow iron by cracking it off
5,3,Hostlers,unskilled,weathered,FALSE,none,adults,male,home,$2.50,$4.00,10,12,Everyday,25,80,a man employed to look after the horses of people staying at an inn.
4,3,Hucksters,semiskilled,weathered,FALSE,none,adults,male,often,$5.00,$20.00,12,18,Everyday,8,40,"a person who sells small items, either door-to-door or from a stall or small store."
44,2,Knocker-Upper,unskilled,weathered,FALSE,none,adults,both,home,$5.00,$8.00,10,12,Mon_Sat,21,32,Served the sole purpose of getting people out of bed in the morniing
24,1,Laborers,unskilled,weathered,FALSE,none,adults,both,often,$7.50,$15.00,10,12,Mon_Sat,15,58,Florists sell and arrange flowers that they grow themselves or obtain from wholesalers.
36,2,Ladies maids,skilled,unweathered,TRUE,none,adults,female,home,$5.00,$8.00,10,12,Mon_Sat,1,34,female personal attendent who waits on the lady of the house. A lady's maid has a very similiar position of a butler.
18,2,launders/laundresses,semiskilled,unweathered,FALSE,none,adults,both,home,$4.00,$8.00,10,12,Mon_Sat,4,35,responsible for washing clothes
76,6,Librarians,professional,unweathered,FALSE,college,adults,both,home,$6.00,$16.70,10,12,Mon_Sat,2,16,someone who works professionally in a library and can hold a degree iin librarianship.
42,2,Lighthouse Keepers,semiskilled,weathered,FALSE,none,adults,both,home,$5.00,$8.00,10,12,Mon_Sat,8,37,takes care of a lighthouse and keeps it clean. Watches for boats coming in at night to help guide them to the shore with the light.
29,1,Lumbermen,skilled,weathered,FALSE,none,adults,male,home,$7.50,$15.00,10,12,Mon_Sat,4,80,cut trees into logs. Transport logs to sawmill and cut logs.
50,4,Machinists,kindred,unweathered,TRUE,none,adults,male,home,$13.50,$17.00,10,12,Mon_Sat,6,80,someone who operates a machine especiallt machine tools.
34,2,Manicurists,skilled,unweathered,TRUE,none,adults,female,home,$5.00,$8.00,10,12,Mon_Sat,5,37,someone who performs manicures
39,2,Marshals,skilled,unweathered,FALSE,none,adults,male,home,$5.00,$8.00,10,12,Mon_Sat,3,32,an officer of the highest rank in the armed forces of some countries.
57,3,Messengers,semiskilled,weathered,FALSE,none,adults,male,home,$9.00,$13.50,10,12,Mon_Sat,8,32,carries a message or goes on an errand for someone else especially as a matter of duty or business.
30,1,MilkMan,semiskilled,weathered,FALSE,none,family,male,home,$7.50,$15.00,10,12,Mon_Sat,3,61,deliver milk to your door.
20,2,Night Watchmen,semiskilled,weathered,FALSE,none,adults,male,home,$4.00,$8.00,10,12,Mon_Sat,6,33,"Night watchmen were on patrol, usually in pairs, from around 9pm until sunrise and their job was to challenge anyone who seemed suspicious, unauthorised street traders and “any person casting night soil in the street”"
77,6,Oestopaths,professional,unweathered,TRUE,high school,adults,male,home,$9.50,$16.70,10,12,Mon_Sat,1,14,therapists who manipulates the skeleton and the muscles.
58,3,Office Boys,semiskilled,unweathered,FALSE,none,adults,male,home,$9.00,$13.50,10,12,Mon_Sat,7,34,employed in an office to run errands and do small tasks and jobs.
9,1,Overseer,skilled,mixed,FALSE,none,adults,male,home,$15.00,$19.50,12,18,Everyday,2,85,"Worker in charge of another group of workers in a factory, mine, rail yard, construction site or plantation."
78,6,Physicians,professional,unweathered,TRUE,high school,adults,male,home,$9.50,$16.70,10,12,Mon_Sat,4,15,"one who practices medicine through maintaining or restoring human health through the studiies and diagnosis to treate the disease, illness, injury or other physical or mental disability."
7,4,pick miner,semiskilled,weathered,TRUE,none,adults,male,home,$7.50,$11.50,10,12,Mon_Sat,7,75,"Loosens coal with picks, drills, and explosives, then loads it onto cars. Paid by the carload of coal. (When we think of ""coalminer"" we usually picture a pick miner.)"
51,4,Plumber,kindred,unweathered,TRUE,none,adults,both,home,$15.00,$17.00,10,12,Everyday,5,69,"someone who installs and repairs the pipes and fittings of water supply, sanitation, or heating systems."
15,6,professioinal showmen,professional,unweathered,FALSE,none,adults,male,often,$12.00,$20.00,10,12,Mon_Sat,2,14,"A person who produces or presents shows as a profession, skilled at entertaining, theatrical presentation or performance."
63,3,Proprietors,professional,unweathered,FALSE,none,adults,male,home,$9.00,$13.50,10,12,Everyday,1,16,Owner of a business or in charge of a holder of property
79,6,Radio Actor,professional,unweathered,FALSE,none,adults,male,home,$9.50,$17.00,10,12,Mon_Sat,1,16,people who acted our dramas via radio.
28,1,Raftsmen,skilled,weathered,FALSE,none,adults,male,home,$7.50,$15.00,10,12,Mon_Sat,1,84,men ride logs down river as a means of getting them to the mills.
84,4,railway Laborers,unskilled,weathered,FALSE,none,adults,male,home,$7.50,$9.25,10,12,Mon_Sat,25,89,workers skilled in all the different jobs required to work on the railroad.
74,6,Reporters,professional,unweathered,FALSE,none,adults,male,home,$9.50,$16.70,10,12,Mon_Sat,3,14,someone who reports news or conducts interviews for any type of newspaper and/or radio station
64,3,Retail Dealer,professional,unweathered,FALSE,none,adults,male,home,$9.00,$13.50,10,12,Everyday,4,16,Someone who sells goods individually or in small quantities
41,2,Sailors,skilled,weathered,FALSE,none,adults,male,home,$5.00,$8.00,10,12,Mon_Sat,2,87,"work as a member of the crew of a commerical or naval ship or boat, especially one who is below the rank of offiicer."
60,3,Salesmen,semiskilled,mixed,FALSE,none,adults,male,home,$9.00,$13.50,10,12,Mon_Sat,3,43,selliing or promoting commericial products either in a store or visiting locations to get orders on what to promote.
19,2,Saloon keepers,professional,unweathered,FALSE,none,adults,both,home,$4.00,$8.00,10,12,Mon_Sat,4,16,a person who owns or operates a saloon.
16,2,Soldiers,unskilled,weathered,FALSE,none,adults,male,often,$6.00,$8.00,10,12,Mon_Sat,17,32,A person who serves in the army
80,4,steel Laborers,unskilled,unweathered,FALSE,none,adults,male,home,$7.50,$9.25,10,12,Mon_Sat,25,85,workers skilled in all the different jobs required in steel industry.
55,3,Stenographers,skilled,unweathered,FALSE,none,adults,both,home,$9.00,$13.50,10,12,Mon_Sat,4,42,write down the words that someone says using shorthand.
23,1,Stock Raisers,skilled,weathered,FALSE,none,adults,male,home,$7.50,$15.00,10,12,Mon_Sat,5,67,"raise and/or breed livestock such as beef cattle, dairy cows, goats, sheep, chickens, etc."
61,3,Stockbrokers,skilled,unweathered,TRUE,none,adults,both,home,$9.00,$13.50,10,12,Mon_Sat,2,43,someone who buys and sells securities on a stock exchange for benefit off a client
62,3,Store Clerks,semiskilled,unweathered,FALSE,none,adults,male,home,$9.00,$13.50,10,12,Mon_Sat,4,42,someone who checks out items from a store and makes sure they are paid for.
13,4,Surveyor,skilled,unweathered,FALSE,high school,adults,male,often,$12.00,$20.00,10,12,Mon_Sat,3,73,"One who applies geometry and trigonometry to determine the area of any portion of the earth's surface, the lengths and directions of the bounding lines, and the contour of the surface, and accurately delineates the whole on paper."
65,3,Switchmen,skilled,unweathered,FALSE,none,adults,male,home,$9.00,$13.50,10,12,Everyday,3,38,railroad worker who is responsibile for operating signals and switches when a train is approaching. Swichmen have switches or cranks they have to pull to change the direction of the track the way the train would like to go.
10,6,Teacher,professional,unweathered,FALSE,high school,adults,male,home,$30.50,$65.90,9,10,Mon_Fri,1,14,"Teachers create lesson plans and teach those plans to the entire class, individually to students or in small groups, track student progress and present the information to parents, create tests, create and reinforce classroom rules,"
11,6,Teacher,professional,unweathered,FALSE,high school,adults,female,home,$28.60,$53.73,9,10,Mon_Fri,1,14,"Teachers create lesson plans and teach those plans to the entire class, individually to students or in small groups, track student progress and present the information to parents, create tests, create and reinforce classroom rules,"
71,3,Teamsters,semiskilled,weathered,FALSE,none,adults,male,home,$9.50,$16.70,10,12,Mon_Sat,2,80,"a driver of a team of animals, mostly horses. They carried passengers and not goods."
6,3,teamsters,unskilled,weathered,FALSE,none,adults,male,home,$7.50,$10.00,12,18,Everyday,32,80,"a person who drives a team of horses, especially in hauling freight., modern day truck driver."
56,3,Typewriters,skilled,unweathered,FALSE,none,adults,male,home,$9.00,$13.50,10,12,Mon_Sat,3,40,able to use a typewriter that prints out what is typed.
43,2,Watchmen,semiskilled,weathered,FALSE,none,adults,male,home,$5.00,$8.00,10,12,Everyday,7,37,employed to look aftter an empty buildiing especiially at night.
32,1,Woodchoppers,semiskilled,weathered,FALSE,none,adults,male,home,$5.00,$15.00,10,12,Mon_Sat,6,66,a person who competes to see who can cut through a tree the fastest.
67,3,Yardmen,semiskilled,weathered,FALSE,none,adults,male,home,$9.00,$13.50,10,12,Mon_Sat,9,79,someone who works on a railroad track. Yardmen put the actual tracks together to make a railroad.
